version,section,filename,function,offset,length,language
us,main,entrypoint,func_80125900,2148686080,80,asm
us,main,main_1050,func_80125950,2148686160,48,c
us,main,main_1050,func_80125980,2148686208,1632,asm
us,main,main_1050,func_80125FE0,2148687840,892,asm
us,main,main_1050,func_8012635C,2148688732,44,c
us,main,main_1050,func_80126388,2148688776,2364,asm
us,main,main_1050,func_80126CC4,2148691140,784,asm
us,main,main_1050,func_80126FD4,2148691924,1644,asm
us,main,main_1050,func_80127640,2148693568,852,asm
us,main,main_1050,func_80127994,2148694420,924,asm
us,main,main_1050,func_80127D30,2148695344,420,asm
us,main,main_1050,func_80127ED4,2148695764,420,asm
us,main,main_1050,func_80128078,2148696184,392,asm
us,main,controller,func_80128200,2148696576,44,c
us,main,controller,func_8012822C,2148696620,64,c
us,main,controller,func_8012826C,2148696684,88,c
us,main,controller,func_801282C4,2148696772,152,c
us,main,controller,func_8012835C,2148696924,80,c
us,main,controller,func_801283AC,2148697004,96,c
us,main,controller,func_8012840C,2148697100,24,c
us,main,controller,func_80128424,2148697124,40,c
us,main,controller,func_8012844C,2148697164,108,c
us,main,controller,func_801284B8,2148697272,512,c
us,main,controller,func_801286B8,2148697784,1368,c
us,main,controller,func_80128C10,2148699152,448,c
us,main,string,func_80128DD0,2148699600,72,c
us,main,string,func_80128E18,2148699672,120,c
us,main,string,func_80128E90,2148699792,68,asm
us,main,string,func_80128ED4,2148699860,100,asm
us,main,string,func_80128F38,2148699960,124,asm
us,main,string,func_80128FB4,2148700084,172,asm
us,main,string,func_80129060,2148700256,48,asm
us,main,main_4790,func_80129090,2148700304,152,asm
us,main,main_4790,func_80129128,2148700456,48,asm
us,main,main_4790,strncpy,2148700504,64,asm
us,main,main_4790,func_80129198,2148700568,12,c
us,main,main_4790,func_801291A4,2148700580,108,asm
us,main,main_4910,read_rom_header,2148700688,44,c
us,main,main_4910,set_region,2148700732,84,c
us,main,main_4910,dma_read,2148700816,112,c
us,main,main_4910,func_80129300,2148700928,304,c
us,main,main_4910,func_80129430,2148701232,356,c
us,main,main_4910,func_80129594,2148701588,496,c
us,main,main_4910,func_80129784,2148702084,408,c
us,main,main_4910,func_8012991C,2148702492,436,c
us,main,main_4910,func_80129AD0,2148702928,64,c
us,main,main_4910,func_80129B10,2148702992,688,asm
us,main,main_4910,func_80129DC0,2148703680,1184,asm
us,main,main_4910,func_8012A260,2148704864,416,asm
us,main,main_4910,func_8012A400,2148705280,144,c
us,main,main_4910,func_8012A490,2148705424,248,c
us,main,main_4910,func_8012A588,2148705672,456,asm
us,main,main_4910,func_8012A750,2148706128,288,c
us,main,main_4910,func_8012A870,2148706416,804,asm
us,main,main_4910,func_8012AB94,2148707220,92,c
us,main,main_4910,func_8012ABF0,2148707312,80,c
us,main,main_4910,func_8012AC40,2148707392,76,c
us,main,main_4910,func_8012AC8C,2148707468,124,c
us,main,main_4910,func_8012AD08,2148707592,40,c
us,main,main_4910,func_8012AD30,2148707632,960,c
us,main,rnc,rnc_decompress,2148708592,164,c
us,main,rnc,func_8012B194,2148708756,548,asm
us,main,rnc,func_8012B3B8,2148709304,656,asm
us,main,rnc,func_8012B648,2148709960,188,asm
us,main,rnc,func_8012B704,2148710148,256,asm
us,main,rnc,func_8012B804,2148710404,176,asm
us,main,rnc,func_8012B8B4,2148710580,164,asm
us,main,rnc,func_8012B958,2148710744,224,asm
us,main,rnc,func_8012BA38,2148710968,96,c
us,main,rnc,func_8012BA98,2148711064,212,asm
us,main,rnc,func_8012BB6C,2148711276,44,c
us,main,rnc,func_8012BB98,2148711320,28,asm
us,main,rnc,func_8012BBB4,2148711348,76,asm
us,main,rnc,func_8012BC00,2148711424,236,asm
us,main,rnc,func_8012BCEC,2148711660,624,asm
us,main,rnc,func_8012BF5C,2148712284,180,asm
us,main,rnc,func_8012C010,2148712464,96,c
us,main,main_7770,func_8012C070,2148712560,288,asm
us,main,main_7890,func_8012C190,2148712848,96,asm
us,main,main_78F0,func_8012C1F0,2148712944,36,c
us,main,main_78F0,set_text_color,2148712980,52,c
us,main,main_78F0,func_8012C248,2148713032,92,asm
us,main,main_78F0,func_8012C2A4,2148713124,64,asm
us,main,main_78F0,func_8012C2E4,2148713188,48,asm
us,main,main_78F0,func_8012C314,2148713236,76,asm
us,main,main_78F0,func_8012C360,2148713312,120,asm
us,main,main_78F0,func_8012C3D8,2148713432,672,asm
us,main,main_78F0,func_8012C678,2148714104,768,asm
us,main,main_78F0,func_8012C978,2148714872,2556,asm
us,main,main_78F0,func_8012D374,2148717428,2356,asm
us,main,main_78F0,func_8012DCA8,2148719784,592,asm
us,main,main_78F0,func_8012DEF8,2148720376,2092,asm
us,main,main_78F0,func_8012E724,2148722468,104,asm
us,main,main_78F0,func_8012E78C,2148722572,960,asm
us,main,main_78F0,func_8012EB4C,2148723532,1556,asm
us,main,main_78F0,func_8012F160,2148725088,2328,asm
us,main,main_78F0,func_8012FA78,2148727416,92,asm
us,main,main_78F0,func_8012FAD4,2148727508,120,asm
us,main,main_78F0,func_8012FB4C,2148727628,160,asm
us,main,main_78F0,func_8012FBEC,2148727788,2304,asm
us,main,main_78F0,func_801304EC,2148730092,968,asm
us,main,main_78F0,func_801308B4,2148731060,52,asm
us,main,main_78F0,func_801308E8,2148731112,424,asm
us,main,main_78F0,func_80130A90,2148731536,48,c
us,main,main_78F0,func_80130AC0,2148731584,64,c
us,main,main_C200,func_80130B00,2148731648,160,asm
us,main,main_C200,func_80130BA0,2148731808,36,c
us,main,main_C200,func_80130BC4,2148731844,64,asm
us,main,main_C200,func_80130C04,2148731908,44,c
us,main,eeprom,func_80130C30,2148731952,164,c
us,main,eeprom,func_80130CD4,2148732116,316,c
us,main,eeprom,func_80130E10,2148732432,52,c
us,main,eeprom,func_80130E44,2148732484,556,asm
us,main,main_C770,func_80131070,2148733040,12,c
us,main,main_C770,func_8013107C,2148733052,532,asm
us,main,audio,func_80131290,2148733584,708,asm
us,main,audio,func_80131554,2148734292,428,asm
us,main,audio,func_80131700,2148734720,456,asm
us,main,audio,func_801318C8,2148735176,64,asm
us,main,audio,func_80131908,2148735240,408,asm
us,main,audio,func_80131AA0,2148735648,56,asm
us,main,audio,func_80131AD8,2148735704,280,asm
us,main,audio,func_80131BF0,2148735984,1108,asm
us,main,audio,func_80132044,2148737092,168,asm
us,main,audio,func_801320EC,2148737260,136,asm
us,main,audio,func_80132174,2148737396,376,asm
us,main,audio,func_801322EC,2148737772,168,asm
us,main,audio,func_80132394,2148737940,36,asm
us,main,audio,func_801323B8,2148737976,92,asm
us,main,audio,func_80132414,2148738068,96,asm
us,main,audio,func_80132474,2148738164,244,asm
us,main,audio,func_80132568,2148738408,24,asm
us,main,audio,func_80132580,2148738432,104,asm
us,main,audio,func_801325E8,2148738536,132,asm
us,main,audio,func_8013266C,2148738668,60,asm
us,main,audio,func_801326A8,2148738728,592,asm
us,main,audio,func_801328F8,2148739320,848,asm
us,main,audio,func_80132C48,2148740168,120,asm
us,main,main_E3C0,func_80132CC0,2148740288,148,asm
us,main,main_E3C0,func_80132D54,2148740436,48,asm
us,main,main_E3C0,func_80132D84,2148740484,492,asm
us,main,main_E3C0,func_80132F70,2148740976,268,asm
us,main,main_E3C0,func_8013307C,2148741244,268,asm
us,main,main_E3C0,func_80133188,2148741512,260,asm
us,main,main_E3C0,func_8013328C,2148741772,668,asm
us,main,main_E3C0,func_80133528,2148742440,116,c
us,main,main_E3C0,func_8013359C,2148742556,108,asm
us,main,main_E3C0,func_80133608,2148742664,68,asm
us,main,main_E3C0,func_8013364C,2148742732,236,asm
us,main,main_E3C0,func_80133738,2148742968,132,c
us,main,main_E3C0,func_801337BC,2148743100,32,c
us,main,main_E3C0,func_801337DC,2148743132,128,asm
us,main,main_E3C0,func_8013385C,2148743260,76,c
us,main,main_E3C0,func_801338A8,2148743336,336,asm
us,main,main_E3C0,func_801339F8,2148743672,380,asm
us,main,main_E3C0,func_80133B74,2148744052,44,c
us,main,main_E3C0,func_80133BA0,2148744096,68,c
us,main,main_E3C0,func_80133BE4,2148744164,108,asm
us,main,main_E3C0,func_80133C50,2148744272,500,asm
us,main,main_E3C0,func_80133E44,2148744772,64,c
us,main,main_E3C0,func_80133E84,2148744836,124,c
us,main,csplayer,alCSPNew,2148744960,364,asm
us,main,csplayer,__CSPVoiceHandler,2148745324,1356,asm
us,main,csplayer,__CSPPostNextSeqEvent,2148746680,112,asm
us,main,csplayer,__CSPHandleNextSeqEvent,2148746792,200,asm
us,main,csplayer,__CSPHandleMIDIMsg,2148746992,2296,asm
us,main,csplayer,__CSPHandleMetaMsg,2148749288,400,asm
us,main,csplayer,__CSPRepostEvent,2148749688,160,asm
us,main,csplayer,__setUsptFromTempo,2148749848,208,asm
us,main,csplayer,func_801352E8,2148750056,560,asm
us,main,csplayer,func_80135518,2148750616,152,asm
us,main,main_10CB0,func_801355B0,2148750768,84,c
us,main,main_10CB0,func_80135604,2148750852,188,asm
us,main,main_10CB0,func_801356C0,2148751040,1560,asm
us,main,main_10CB0,func_80135CD8,2148752600,1008,asm
us,main,main_10CB0,func_801360C8,2148753608,848,asm
us,main,main_10CB0,func_80136418,2148754456,676,c
us,main,main_10CB0,func_801366BC,2148755132,636,c
us,main,main_10CB0,func_80136938,2148755768,936,asm
us,main,main_123E0,func_80136CE0,2148756704,644,asm
us,main,main_123E0,func_80136F64,2148757348,320,c
us,main,main_123E0,func_801370A4,2148757668,80,c
us,main,main_123E0,func_801370F4,2148757748,72,c
us,main,main_123E0,func_8013713C,2148757820,44,c
us,main,main_123E0,func_80137168,2148757864,156,asm
us,main,main_123E0,func_80137204,2148758020,72,c
us,main,main_123E0,func_8013724C,2148758092,72,c
us,main,main_123E0,func_80137294,2148758164,312,asm
us,main,main_123E0,func_801373CC,2148758476,540,asm
us,main,main_123E0,func_801375E8,2148759016,600,asm
us,main,main_123E0,func_80137840,2148759616,128,c
version,section,filename,function,offset,length,language
us,lib,initialize,osInitialize,2148759744,656,asm
us,lib,ll,__ull_rshift,2148760400,44,asm
us,lib,ll,__ull_rem,2148760444,60,asm
us,lib,ll,__ull_div,2148760504,60,asm
us,lib,ll,__ll_lshift,2148760564,44,asm
us,lib,ll,__ll_rem,2148760608,60,asm
us,lib,ll,__ll_div,2148760668,92,asm
us,lib,ll,__ll_mul,2148760760,48,asm
us,lib,ll,__ull_divremi,2148760808,96,asm
us,lib,ll,__ll_mod,2148760904,156,asm
us,lib,ll,__ll_rshift,2148761060,44,asm
us,lib,sqrtf,sqrtf,2148761104,16,asm
us,lib,gettime,osGetTime,2148761120,144,asm
us,lib,writebackdcacheall,osWritebackDCacheAll,2148761264,48,asm
us,lib,pidma,osPiStartDma,2148761312,272,asm
us,lib,recvmesg,osRecvMesg,2148761584,320,asm
us,lib,virtualtophysical,osVirtualToPhysical,2148761904,128,asm
us,lib,createmesgqueue,osCreateMesgQueue,2148762032,48,asm
us,lib,startthread,osStartThread,2148762080,336,asm
us,lib,sched,__scTaskReady,2148762416,80,asm
us,lib,sched,__scExec,2148762496,160,asm
us,lib,sched,func_80138420,2148762656,484,asm
us,lib,sched,func_80138604,2148763140,144,asm
us,lib,sched,func_80138694,2148763284,8,asm
us,lib,sched,func_8013869C,2148763292,8,asm
us,lib,sched,func_801386A4,2148763300,8,asm
us,lib,sched,func_801386AC,2148763308,8,asm
us,lib,sched,func_801386B4,2148763316,384,asm
us,lib,sched,func_80138834,2148763700,556,asm
us,lib,sched,osScGetCmdQ,2148764256,8,asm
us,lib,sched,osScRemoveClient,2148764264,136,asm
us,lib,sched,osScAddClient,2148764400,80,asm
us,lib,sched,osCreateScheduler,2148764480,304,asm
us,lib,visetspecial,osViSetSpecialFeatures,2148764784,448,asm
us,lib,contreaddata,osContStartReadData,2148765232,140,asm
us,lib,contreaddata,osContGetReadData,2148765372,168,asm
us,lib,contreaddata,__osPackReadData,2148765540,236,asm
us,lib,sendmesg,osSendMesg,2148765776,432,asm
us,lib,visetxscale,osViSetXScale,2148766208,304,asm
us,lib,visetyscale,osViSetYScale,2148766512,96,asm
us,lib,viblack,osViBlack,2148766608,112,asm
us,lib,invalicache,osInvalICache,2148766720,128,asm
us,lib,invaldcache,osInvalDCache,2148766848,176,asm
us,lib,bzero,bzero,2148767024,160,asm
us,lib,sprintf,proutSprintf,2148767184,36,asm
us,lib,sprintf,sprintf,2148767220,92,asm
us,lib,syncprintf,osSyncPrintf,2148767312,28,asm
us,lib,syncprintf,rmonPrintf,2148767340,36,asm
us,lib,conteeplongwrite,osEepromLongWrite,2148767376,240,asm
us,lib,conteeplongread,osEepromLongRead,2148767616,144,asm
us,lib,dpsetstat,osDpSetStatus,2148767760,16,asm
us,lib,aisetfreq,osAiSetFrequency,2148767776,352,asm
us,lib,sl,alUnlink,2148768128,48,asm
us,lib,sl,alLink,2148768176,36,asm
us,lib,sl,alClose,2148768212,56,asm
us,lib,sl,alInit,2148768268,52,asm
us,lib,heapalloc,alHeapDBAlloc,2148768320,96,asm
us,lib,createthread,osCreateThread,2148768416,336,asm
us,lib,aisetnextbuf,osAiSetNextBuffer,2148768752,176,asm
us,lib,aigetlen,osAiGetLength,2148768928,16,asm
us,lib,synthesizer,func_80139CB0,2148768944,8,asm
us,lib,synthesizer,_timeToSamples,2148768952,88,asm
us,lib,synthesizer,_freePVoice,2148769040,56,asm
us,lib,synthesizer,_collectPVoices,2148769096,96,asm
us,lib,synthesizer,__freeParam,2148769192,24,asm
us,lib,synthesizer,__allocParam,2148769216,48,asm
us,lib,synthesizer,func_80139DF0,2148769264,8,asm
us,lib,synthesizer,alAudioFrame,2148769272,664,asm
us,lib,synthesizer,alSynNew,2148769936,768,asm
us,lib,synthesizer,alHeapInit,2148770704,64,asm
us,lib,bnkf,func_8013A3D0,2148770768,8,asm
us,lib,bnkf,func_8013A3D8,2148770776,8,asm
us,lib,bnkf,_bnkfPatchInst,2148770784,236,asm
us,lib,bnkf,func_8013A4CC,2148771020,8,asm
us,lib,bnkf,alBnkfNew,2148771028,260,asm
us,lib,bnkf,alSeqFileNew,2148771288,72,asm
us,lib,sndplayer,func_8013A620,2148771360,124,asm
us,lib,sndplayer,func_8013A69C,2148771484,8,asm
us,lib,sndplayer,func_8013A6A4,2148771492,8,asm
us,lib,sndplayer,func_8013A6AC,2148771500,1352,asm
us,lib,sndplayer,alSndpNew,2148772852,316,asm
us,lib,seqpsetbank,alSeqpSetBank,2148773168,64,asm
us,lib,cseq,alCSeqGetLoc,2148773232,160,asm
us,lib,cseq,alCSeqSetLoc,2148773392,160,asm
us,lib,cseq,func_8013AEB0,2148773552,196,asm
us,lib,cseq,func_8013AF74,2148773748,88,asm
us,lib,cseq,func_8013AFCC,2148773836,8,asm
us,lib,cseq,alCSeqNextEvent,2148773844,760,asm
us,lib,cseq,alCSeqNew,2148774604,276,asm
us,lib,cseq,alCSeqNewMarker,2148774880,364,asm
us,lib,cseq,func_8013B54C,2148775244,8,asm
us,lib,cseq,alCSeqSecToTicks,2148775252,252,asm
us,lib,cseq,alCSeqTicksToSec,2148775504,108,asm
us,lib,cseq,__alCSeqNextDelta,2148775612,372,asm
us,lib,seqpsetseq,alSeqpSetSeq,2148775984,64,asm
us,lib,seqpsetvol,alSeqpSetVol,2148776048,64,asm
us,lib,seqpplay,alSeqpPlay,2148776112,48,asm
us,lib,sndpallocate,alSndpAllocate,2148776160,160,asm
us,lib,sndpsetsound,alSndpSetSound,2148776320,32,asm
us,lib,sndpsetpitch,alSndpSetPitch,2148776352,96,asm
us,lib,sndpsetvol,alSndpSetVol,2148776448,96,asm
us,lib,sndpsetfxmix,alSndpSetFXMix,2148776544,96,asm
us,lib,sndpplay,alSndpPlay,2148776640,112,asm
us,lib,seqpstop,alSeqpStop,2148776752,48,asm
us,lib,sndpgetstate,alSndpGetState,2148776800,32,asm
us,lib,sndpdeallocate,alSndpDeallocate,2148776832,80,asm
us,lib,sndpsetpan,alSndpSetPan,2148776912,96,asm
us,lib,sndpstop,alSndpStop,2148777008,80,asm
us,lib,seqplayer,__setInstChanState,2148777088,84,asm
us,lib,seqplayer,__resetPerfChanState,2148777172,128,asm
us,lib,seqplayer,__initFromBank,2148777300,180,asm
us,lib,seqplayer,func_8013BE08,2148777480,8,asm
us,lib,seqplayer,__vsDelta,2148777488,36,asm
us,lib,seqplayer,__vsVol,2148777524,136,asm
us,lib,seqplayer,__seqpReleaseVoice,2148777660,300,asm
us,lib,seqplayer,__voiceNeedsNoteKill,2148777960,168,asm
us,lib,seqplayer,__unmapVoice,2148778128,112,asm
us,lib,seqplayer,__postNextSeqEvent,2148778240,220,asm
us,lib,seqplayer,func_8013C1DC,2148778460,120,asm
us,lib,seqplayer,__vsPan,2148778580,72,asm
us,lib,seqplayer,__lookupVoice,2148778652,116,asm
us,lib,seqplayer,__mapVoice,2148778768,112,asm
us,lib,seqplayer,__lookupSoundQuick,2148778880,252,asm
us,lib,seqplayer,func_8013C47C,2148779132,2072,asm
us,lib,seqplayer,func_8013CC94,2148781204,8,asm
us,lib,seqplayer,func_8013CC9C,2148781212,1572,asm
us,lib,seqplayer,__seqpStopOsc,2148782784,260,asm
us,lib,seqplayer,__initChanState,2148783044,112,asm
us,lib,seqplayer,alSeqpNew,2148783156,396,asm
us,lib,event,alEvtqFlushType,2148783552,172,asm
us,lib,event,alEvtqFlush,2148783724,112,asm
us,lib,event,alEvtqPostEvent,2148783836,292,asm
us,lib,event,alEvtqNextEvent,2148784128,140,asm
us,lib,event,alEvtqNew,2148784268,116,asm
us,lib,synaddplayer,alSynAddPlayer,2148784384,80,asm
us,lib,synstopvoice,alSynStopVoice,2148784464,128,asm
us,lib,synfreevoice,alSynFreeVoice,2148784592,176,asm
us,lib,synfreevoice,alSynSetVol,2148784768,160,asm
us,lib,synsetpitch,alSynSetPitch,2148784928,144,asm
us,lib,synallocvoice,_allocatePVoice,2148785072,232,asm
us,lib,synallocvoice,alSynAllocVoice,2148785304,328,asm
us,lib,cents2ratio,alCents2Ratio,2148785632,80,asm
us,lib,synstartvoiceparam,alSynStartVoiceParams,2148785712,240,asm
us,lib,synsetpan,alSynSetPan,2148785952,144,asm
us,lib,synsetfxmix,alSynSetFXMix,2148786096,160,asm
us,lib,setintmask,osSetIntMask,2148786256,160,asm
us,lib,pimgr,osCreatePiManager,2148786416,400,asm
us,lib,setthreadpri,osSetThreadPri,2148786816,224,asm
us,lib,usprite,guSprite2DInit,2148787040,80,asm
us,lib,seteventmesg,osSetEventMesg,2148787120,112,asm
us,lib,controller,osContInit,2148787232,368,asm
us,lib,controller,__osContGetInitData,2148787600,208,asm
us,lib,controller,__osPackRequestData,2148787808,256,asm
us,lib,contsetch,osContSetCh,2148788064,112,asm
us,lib,pfsinit,osPfsInit,2148788176,192,asm
us,lib,motor,osMotorStop,2148788368,416,asm
us,lib,motor,osMotorStart,2148788784,416,asm
us,lib,motor,_MakeMotorData,2148789200,380,asm
us,lib,motor,osMotorInit,2148789580,740,asm
us,lib,conteepprobe,osEepromProbe,2148790320,160,asm
us,lib,llcvt,__d_to_ll,2148790480,28,asm
