version,section,filename,function,offset,length,language
us,main,entrypoint.s,func_80125900,2148686080,80,asm
us,main,main_1050.c,func_80125950,2148686160,48,c
us,main,mtx.c,func_80125980,2148686208,1632,asm
us,main,mtx.c,func_80125FE0,2148687840,892,asm
us,main,mtx.c,func_8012635C,2148688732,44,c
us,main,mtx.c,func_80126388,2148688776,2364,asm
us,main,mtx.c,func_80126CC4,2148691140,784,asm
us,main,mtx.c,func_80126FD4,2148691924,1644,asm
us,main,mtx.c,func_80127640,2148693568,852,asm
us,main,mtx.c,func_80127994,2148694420,924,asm
us,main,mtx.c,func_80127D30,2148695344,420,asm
us,main,mtx.c,func_80127ED4,2148695764,420,asm
us,main,mtx.c,func_80128078,2148696184,392,asm
us,main,controller.c,func_80128200,2148696576,44,c
us,main,controller.c,func_8012822C,2148696620,64,c
us,main,controller.c,func_8012826C,2148696684,88,c
us,main,controller.c,func_801282C4,2148696772,152,c
us,main,controller.c,func_8012835C,2148696924,80,c
us,main,controller.c,func_801283AC,2148697004,96,c
us,main,controller.c,func_8012840C,2148697100,24,c
us,main,controller.c,func_80128424,2148697124,40,c
us,main,controller.c,func_8012844C,2148697164,108,c
us,main,controller.c,func_801284B8,2148697272,512,c
us,main,controller.c,func_801286B8,2148697784,1368,c
us,main,controller.c,func_80128C10,2148699152,448,c
us,main,string.c,strlen_sssv,2148699600,72,c
us,main,string.c,strcat,2148699672,120,c
us,main,string.c,strcpy,2148699792,68,c
us,main,string.c,strncpy,2148699860,100,c
us,main,string.c,strcmp,2148699960,124,c
us,main,string.c,bzero_sssv,2148700084,172,c
us,main,string.c,memset_words,2148700256,48,c
us,main,string.c,memset_bytes,2148700304,152,c
us,main,string.c,rand,2148700456,48,c
us,main,string.c,memcpy_sssv,2148700504,64,c
us,main,string.c,func_80129198,2148700568,12,asm
us,main,string.c,func_801291A4,2148700580,108,c
us,main,dma.c,read_rom_header,2148700688,44,c
us,main,dma.c,set_region,2148700732,84,c
us,main,dma.c,dma_read,2148700816,112,c
us,main,segments.c,load_segments,2148700928,304,c
us,main,segments.c,func_80129430,2148701232,356,c
us,main,segments.c,func_80129594,2148701588,496,c
us,main,segments.c,func_80129784,2148702084,408,c
us,main,segments.c,func_8012991C,2148702492,436,c
us,main,main_51D0.c,clear_framebuffer,2148702928,64,c
us,main,thread6.c,thread6,2148702992,688,c
us,main,thread6.c,func_80129DC0,2148703680,1184,c
us,main,thread6.c,thread7,2148704864,416,c
us,main,thread6.c,func_8012A400,2148705280,144,c
